"MSFD habitat code","Extent of habitat (10^3 km^2)","Number of grid cells","Landings 10^3 tonnes","Value 10^6 euro","Swept area 10^3 km^2","Proportion of grid cells fished (indicator 2)","Proportion of area fished (indicator 3)","Fishing intensity per year (indicator 1)","Average impact (indicator 6)","Proportion of habitat fished with 90% of effort (indicator 4)"
"Offshore circalittoral coarse sediment",129.37,7164,216.06,154.6,234.5,0.68,0.51,1.73,0.08,0.34
"Offshore circalittoral sand",125.1,6833,2215.36,109.1,232.76,0.85,0.67,1.86,0.08,0.48
"Unknown",68.73,3783,444.73,13.62,25.93,0.34,0.17,0.35,0.02,0.13
"Offshore circalittoral mud",61.73,3311,1915.89,100.29,233.56,0.95,0.85,3.79,0.25,0.56
"Circalittoral coarse sediment",17.54,969,1.59,4.95,3.5,0.45,0.13,0.19,0.02,0.19
"Circalittoral sand",11.06,598,2.28,1.81,2.95,0.45,0.16,0.26,0.03,0.18
"Offshore circalittoral mixed sediment",9.02,502,5.58,7.02,8.72,0.54,0.31,0.93,0.08,0.21
"Circalittoral rock and biogenic reef",8.87,499,3.07,3.51,1.89,0.37,0.14,0.22,0.02,0.18
"Offshore circalittoral rock and biogenic reef",6.96,380,1.2,3.62,6.76,0.54,0.25,1.01,0.04,0.14
"Upper bathyal sediment",5.47,335,25.12,3.77,7.33,0.6,0.39,1.42,0.05,0.26
"Circalittoral mud",4.93,273,4.68,1.61,3.27,0.56,0.3,0.68,0.07,0.25
"Infralittoral rock and biogenic reef",1.74,101,0.12,0.53,0.2,0.35,0.11,0.12,0.02,0.18
"Infralittoral sand",1.47,79,0.07,0.25,0.09,0.24,0.05,0.06,0.01,0.11
"Circalittoral mixed sediment",1.04,57,0.17,0.51,0.33,0.49,0.26,0.33,0.04,0.28
"Infralittoral coarse sediment",0.75,42,0.22,0.6,0.1,0.29,0.12,0.13,0.03,0.14
"Infralittoral mud",0.48,26,0.04,0.19,0.11,0.27,0.11,0.23,0.03,0.15
"Infralittoral mixed sediment",0.23,13,0.02,0.04,0.1,0.23,0.09,0.51,0.02,NA
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.12,6,13.35,0.06,0.19,1,0.74,1.57,0.06,NA
"Upper bathyal rock and biogenic reef",0.03,2,0,0,0,0,0,0,0,NA
