"csquares","Ecoregion","EEZ","area_sqkm","long","lat","Depth","Dominant_MSFD"
"1602:352:487:3","Baltic Sea","Sweden",12.7191253787041,22.725,65.875,1.41781912744045,"Circalittoral mud"
"1602:352:383:2","Baltic Sea","Sweden",12.7437930315399,22.375,65.825,0.48810496004132,"Circalittoral mud or Circalittoral sand"
"1602:352:384:2","Baltic Sea","Sweden",12.7437930315399,22.475,65.825,0.249179226510665,"Infralittoral mixed sediment"
"1602:352:487:1","Baltic Sea","Sweden",12.7437930315399,22.725,65.825,0.448040660914211,"Infralittoral mixed sediment"
"1602:352:487:2","Baltic Sea","Sweden",12.7437930315399,22.775,65.825,0.832055683469489,"Infralittoral mixed sediment"
"1602:352:488:1","Baltic Sea","Sweden",12.7437930315399,22.825,65.825,0.753859629233678,"Infralittoral mixed sediment"
"1602:353:487:1","Baltic Sea","Sweden",12.7437930315399,23.725,65.825,0.126983297537663,"Infralittoral mud or Infralittoral sand"
"1602:352:373:3","Baltic Sea","Sweden",12.7684503722115,22.325,65.775,1.15229836658109,"Infralittoral mud or Infralittoral sand"
"1602:352:373:4","Baltic Sea","Sweden",12.7684503722115,22.375,65.775,2.2567943174392,"Circalittoral mud or Circalittoral sand"
"1602:352:374:3","Baltic Sea","Sweden",12.7684503722115,22.425,65.775,3.25948253533115,"Circalittoral mud or Circalittoral sand"
"1602:352:475:3","Baltic Sea","Sweden",12.7684503722115,22.525,65.775,0.419346501385527,"Circalittoral mud or Circalittoral sand"
"1602:352:475:4","Baltic Sea","Sweden",12.7684503722115,22.575,65.775,0.782894810289145,"Circalittoral mixed sediment"
"1602:352:476:4","Baltic Sea","Sweden",12.7684503722115,22.675,65.775,6.33711099624634,"Infralittoral mud or Infralittoral sand"
"1602:352:477:3","Baltic Sea","Sweden",12.7684503722115,22.725,65.775,4.70952680836553,"Circalittoral mud or Circalittoral sand"
"1602:352:477:4","Baltic Sea","Sweden",12.7684503722115,22.775,65.775,5.05000852376223,"Circalittoral mixed sediment"
"1602:352:478:4","Baltic Sea","Sweden",12.7684503722115,22.875,65.775,1.31067679699918,"Circalittoral mud or Circalittoral sand"
"1602:352:479:3","Baltic Sea","Sweden",12.7684503722115,22.925,65.775,0.0860376141965389,"Circalittoral mud or Circalittoral sand"
"1602:353:373:3","Baltic Sea","Sweden",12.7684503722115,23.325,65.775,1.84126069109091,"Circalittoral mud or Circalittoral sand"
"1602:353:374:4","Baltic Sea","Sweden",12.7684503722115,23.475,65.775,0.116095883875914,"Circalittoral mixed sediment"
"1602:353:475:3","Baltic Sea","Sweden",12.7684503722115,23.525,65.775,1.55453070204543,"Circalittoral mud or Circalittoral sand"
"1602:353:475:4","Baltic Sea","Sweden",12.7684503722115,23.575,65.775,0.0125216841697693,"Circalittoral mixed sediment"
"1602:353:476:3","Baltic Sea","Sweden",12.7684503722115,23.625,65.775,0.0419932170771062,"Circalittoral mixed sediment"
"1602:353:476:4","Baltic Sea","Sweden",12.7684503722115,23.675,65.775,4.06395665302873,"Circalittoral mud or Circalittoral sand"
"1602:353:477:3","Baltic Sea","Sweden",12.7684503722115,23.725,65.775,3.74389413356781,"Circalittoral mud or Circalittoral sand"
"1602:353:477:4","Baltic Sea","Sweden",12.7684503722115,23.775,65.775,0.772182941669598,"Infralittoral mixed sediment"
"1602:353:478:4","Baltic Sea","Sweden",12.7684503722115,23.875,65.775,0.637005819724156,"Infralittoral mixed sediment"
"1602:353:479:4","Baltic Sea","Sweden",12.7684503722115,23.975,65.775,0.949203076306731,"Infralittoral mixed sediment"
"1602:354:370:3","Baltic Sea","Sweden",12.7684503722115,24.025,65.775,0.120524358033435,"Infralittoral mud or Infralittoral sand"
"1602:354:370:4","Baltic Sea","Sweden",12.7684503722115,24.075,65.775,0.381872865128452,"Infralittoral mud or Infralittoral sand"
"1602:354:371:3","Baltic Sea","Sweden",12.7684503722115,24.125,65.775,0.209778251250585,"Infralittoral mud or Infralittoral sand"
"1602:354:372:4","Baltic Sea","Finland",12.7684503722115,24.275,65.775,0.89211347173242,"Infralittoral mud or Infralittoral sand"
"1602:354:373:3","Baltic Sea","Finland",12.7684503722115,24.325,65.775,0.325766555160044,"Infralittoral mud or Infralittoral sand"
"1602:352:373:1","Baltic Sea","Sweden",12.7930973814774,22.325,65.725,5.76562738418579,"Infralittoral mixed sediment"
"1602:352:373:2","Baltic Sea","Sweden",12.7930973814774,22.375,65.725,3.15886175632477,"Circalittoral mud or Circalittoral sand"
"1602:352:374:1","Baltic Sea","Sweden",12.7930973814774,22.425,65.725,7.30186923384666,"Circalittoral mud or Circalittoral sand"
"1602:352:374:2","Baltic Sea","Sweden",12.7930973814774,22.475,65.725,10.2511670303345,"Circalittoral mud or Circalittoral sand"
"1602:352:475:1","Baltic Sea","Sweden",12.7930973814774,22.525,65.725,8.85209626952807,"Circalittoral mixed sediment"
"1602:352:475:2","Baltic Sea","Sweden",12.7930973814774,22.575,65.725,11.3578678894043,"Circalittoral mixed sediment"
"1602:352:476:1","Baltic Sea","Sweden",12.7930973814774,22.625,65.725,11.8084231567383,"Circalittoral mud or Circalittoral sand"
"1602:352:476:2","Baltic Sea","Sweden",12.7930973814774,22.675,65.725,10.0662224128842,"Circalittoral mud or Circalittoral sand"
"1602:352:477:1","Baltic Sea","Sweden",12.7930973814774,22.725,65.725,5.95039021730423,"Circalittoral mixed sediment"
"1602:352:478:1","Baltic Sea","Sweden",12.7930973814774,22.825,65.725,1.07655928264629,"Circalittoral mud or Circalittoral sand"
"1602:352:478:2","Baltic Sea","Sweden",12.7930973814774,22.875,65.725,0.952285723760724,"Infralittoral mixed sediment"
"1602:353:370:1","Baltic Sea","Sweden",12.7930973814774,23.025,65.725,4.46372286764284,"Circalittoral mud or Circalittoral sand"
"1602:353:370:2","Baltic Sea","Sweden",12.7930973814774,23.075,65.725,0.437866834551096,"Circalittoral mud or Circalittoral sand"
"1602:353:371:2","Baltic Sea","Sweden",12.7930973814774,23.175,65.725,0.342470927282453,"Infralittoral mixed sediment"
"1602:353:372:1","Baltic Sea","Sweden",12.7930973814774,23.225,65.725,0.851911431321731,"Infralittoral mixed sediment"
"1602:353:372:2","Baltic Sea","Sweden",12.7930973814774,23.275,65.725,3.62965563436349,"Infralittoral mixed sediment"
"1602:353:373:1","Baltic Sea","Sweden",12.7930973814774,23.325,65.725,12.158430557251,"Circalittoral mixed sediment"
"1602:353:373:2","Baltic Sea","Sweden",12.7930973814774,23.375,65.725,6.29705462694168,"Circalittoral mud or Circalittoral sand"
"1602:353:374:1","Baltic Sea","Sweden",12.7930973814774,23.425,65.725,8.05597008361171,"Circalittoral mud or Circalittoral sand"
"1602:353:374:2","Baltic Sea","Sweden",12.7930973814774,23.475,65.725,2.60526571843935,"Circalittoral mixed sediment"
"1602:353:476:1","Baltic Sea","Sweden",12.7930973814774,23.625,65.725,8.09722335934639,"Circalittoral mud or Circalittoral sand"
"1602:353:476:2","Baltic Sea","Sweden",12.7930973814774,23.675,65.725,0.979833466085521,"Circalittoral mud or Circalittoral sand"
"1602:353:478:1","Baltic Sea","Sweden",12.7930973814774,23.825,65.725,2.9738635464261,"Circalittoral mixed sediment"
"1602:353:478:2","Baltic Sea","Sweden",12.7930973814774,23.875,65.725,3.29356704652309,"Circalittoral mud or Circalittoral sand"
"1602:353:479:1","Baltic Sea","Sweden",12.7930973814774,23.925,65.725,7.33788575172424,"Circalittoral mud or Circalittoral sand"
"1602:353:479:2","Baltic Sea","Sweden",12.7930973814774,23.975,65.725,6.8433839225769,"Circalittoral mud or Circalittoral sand"
"1602:354:370:1","Baltic Sea","Sweden",12.7930973814774,24.025,65.725,4.59065809130669,"Circalittoral mud or Circalittoral sand"
"1602:354:370:2","Baltic Sea","Sweden",12.7930973814774,24.075,65.725,2.58886117488146,"Infralittoral mud or Infralittoral sand"
"1602:354:371:1","Baltic Sea","Sweden",12.7930973814774,24.125,65.725,0.693672856762229,"Infralittoral mixed sediment"
"1602:354:371:2","Baltic Sea","Finland",12.7930973814774,24.175,65.725,0.280130478478968,"Circalittoral mud or Circalittoral sand"
"1602:354:372:1","Baltic Sea","Finland",12.7930973814774,24.225,65.725,0.0774250934747132,"Circalittoral mud"
"1602:354:372:2","Baltic Sea","Finland",12.7930973814774,24.275,65.725,5.01340858217329,"Circalittoral mud"
"1602:354:373:1","Baltic Sea","Finland",12.7930973814774,24.325,65.725,6.95994963645935,"Circalittoral mud or Circalittoral sand"
"1602:354:373:2","Baltic Sea","Finland",12.7930973814774,24.375,65.725,1.69853397645056,"Circalittoral mud or Circalittoral sand"
"1602:354:374:2","Baltic Sea","Finland",12.7930973814774,24.475,65.725,0.87864805987296,"Infralittoral sand"
"1602:354:475:1","Baltic Sea","Finland",12.7930973814774,24.525,65.725,1.28279198723306,"Infralittoral sand"
"1602:354:475:2","Baltic Sea","Finland",12.7930973814774,24.575,65.725,7.98101663589478,"Infralittoral sand"
"1602:352:364:3","Baltic Sea","Sweden",12.8177340400772,22.425,65.675,7.79118726491928,"Circalittoral mud or Circalittoral sand"
"1602:352:465:3","Baltic Sea","Sweden",12.8177340400772,22.525,65.675,10.2971331214905,"Circalittoral mixed sediment"
"1602:352:465:4","Baltic Sea","Sweden",12.8177340400772,22.575,65.675,10.8944075393677,"Circalittoral mud or Circalittoral sand"
"1602:352:466:4","Baltic Sea","Sweden",12.8177340400772,22.675,65.675,10.1890548637935,"Circalittoral mud or Circalittoral sand"
"1602:352:467:4","Baltic Sea","Sweden",12.8177340400772,22.775,65.675,14.1608468818665,"Circalittoral mud or Circalittoral sand"
"1602:352:468:3","Baltic Sea","Sweden",12.8177340400772,22.825,65.675,10.8848173356056,"Circalittoral mud or Circalittoral sand"
"1602:352:468:4","Baltic Sea","Sweden",12.8177340400772,22.875,65.675,5.08389414131641,"Circalittoral mud or Circalittoral sand"
"1602:352:469:3","Baltic Sea","Sweden",12.8177340400772,22.925,65.675,0.988587904316576,"Circalittoral mixed sediment"
"1602:353:360:4","Baltic Sea","Sweden",12.8177340400772,23.075,65.675,11.2508486908674,"Circalittoral mud or Circalittoral sand"
"1602:353:361:3","Baltic Sea","Sweden",12.8177340400772,23.125,65.675,13.2239110898972,"Circalittoral mud or Circalittoral sand"
"1602:353:361:4","Baltic Sea","Sweden",12.8177340400772,23.175,65.675,18.8683961105347,"Circalittoral sand"
"1602:353:362:3","Baltic Sea","Sweden",12.8177340400772,23.225,65.675,5.24263604849577,"Circalittoral mud or Circalittoral sand"
"1602:353:362:4","Baltic Sea","Sweden",12.8177340400772,23.275,65.675,1.18940037939077,"Circalittoral sand"
"1602:353:363:3","Baltic Sea","Sweden",12.8177340400772,23.325,65.675,2.89105068266392,"Circalittoral sand"
"1602:353:363:4","Baltic Sea","Sweden",12.8177340400772,23.375,65.675,12.8042060661316,"Circalittoral sand"
"1602:353:364:3","Baltic Sea","Sweden",12.8177340400772,23.425,65.675,13.1180673253536,"Circalittoral sand"
"1602:353:364:4","Baltic Sea","Sweden",12.8177340400772,23.475,65.675,8.68363457679749,"Circalittoral mud or Circalittoral sand"
"1602:353:465:3","Baltic Sea","Sweden",12.8177340400772,23.525,65.675,7.17205449104309,"Circalittoral mud or Circalittoral sand"
"1602:353:465:4","Baltic Sea","Sweden",12.8177340400772,23.575,65.675,9.09024997115135,"Circalittoral mixed sediment"
"1602:353:466:3","Baltic Sea","Sweden",12.8177340400772,23.625,65.675,12.270084400177,"Circalittoral mixed sediment"
"1602:353:466:4","Baltic Sea","Sweden",12.8177340400772,23.675,65.675,14.5171175847451,"Circalittoral mud or Circalittoral sand"
"1602:353:467:3","Baltic Sea","Sweden",12.8177340400772,23.725,65.675,8.0651995887359,"Circalittoral mixed sediment"
"1602:353:467:4","Baltic Sea","Sweden",12.8177340400772,23.775,65.675,5.00750239328905,"Circalittoral coarse sediment"
"1602:353:468:3","Baltic Sea","Sweden",12.8177340400772,23.825,65.675,3.60334459781647,"Circalittoral mixed sediment"
"1602:353:468:4","Baltic Sea","Sweden",12.8177340400772,23.875,65.675,7.07496526479721,"Circalittoral mud or Circalittoral sand"
"1602:353:469:3","Baltic Sea","Sweden",12.8177340400772,23.925,65.675,2.86870835789225,"Circalittoral mud or Circalittoral sand"
"1602:353:469:4","Baltic Sea","Sweden",12.8177340400772,23.975,65.675,0.145223370939493,"Circalittoral mixed sediment"
"1602:354:360:3","Baltic Sea","Sweden",12.8177340400772,24.025,65.675,8.00179575264454,"Circalittoral mud or Circalittoral sand"
"1602:354:360:4","Baltic Sea","Sweden",12.8177340400772,24.075,65.675,5.04228009462357,"Infralittoral mixed sediment"
"1602:354:361:3","Baltic Sea","Finland",12.8177340400772,24.125,65.675,1.42894031852484,"Infralittoral mixed sediment"
"1602:354:362:3","Baltic Sea","Finland",12.8177340400772,24.225,65.675,0.371484376328147,"Circalittoral mixed sediment"
"1602:354:363:3","Baltic Sea","Finland",12.8177340400772,24.325,65.675,5.65473254203796,"Circalittoral mud or Circalittoral sand"
"1602:354:363:4","Baltic Sea","Finland",12.8177340400772,24.375,65.675,8.7902668762207,"Circalittoral mud or Circalittoral sand"
"1602:354:364:3","Baltic Sea","Finland",12.8177340400772,24.425,65.675,8.29239133358002,"Circalittoral mixed sediment"
"1602:354:364:4","Baltic Sea","Finland",12.8177340400772,24.475,65.675,3.26913382081936,"Infralittoral sand"
"1602:354:465:3","Baltic Sea","Finland",12.8177340400772,24.525,65.675,1.77208335138857,"Infralittoral sand"
"1602:352:364:1","Baltic Sea","Sweden",12.8423603287735,22.425,65.625,8.15298817038536,"Circalittoral mixed sediment"
"1602:352:364:2","Baltic Sea","Sweden",12.8423603287735,22.475,65.625,6.2448771739006,"Circalittoral mixed sediment"
"1602:352:465:2","Baltic Sea","Sweden",12.8423603287735,22.575,65.625,14.9569456863403,"Circalittoral mixed sediment"
"1602:352:466:1","Baltic Sea","Sweden",12.8423603287735,22.625,65.625,8.32543157703347,"Circalittoral mixed sediment"
"1602:352:466:2","Baltic Sea","Sweden",12.8423603287735,22.675,65.625,9.74645882993937,"Circalittoral mud or Circalittoral sand"
"1602:352:467:1","Baltic Sea","Sweden",12.8423603287735,22.725,65.625,9.94306560516358,"Circalittoral mud or Circalittoral sand"
"1602:352:467:2","Baltic Sea","Sweden",12.8423603287735,22.775,65.625,6.84195175349712,"Circalittoral mud or Circalittoral sand"
"1602:352:468:1","Baltic Sea","Sweden",12.8423603287735,22.825,65.625,11.4231058931351,"Circalittoral mud or Circalittoral sand"
"1602:352:468:2","Baltic Sea","Sweden",12.8423603287735,22.875,65.625,12.4576234402864,"Circalittoral mud or Circalittoral sand"
"1602:352:469:1","Baltic Sea","Sweden",12.8423603287735,22.925,65.625,10.0291904409726,"Circalittoral mixed sediment"
"1602:352:469:2","Baltic Sea","Sweden",12.8423603287735,22.975,65.625,0.407755205696005,"Circalittoral mixed sediment"
"1602:353:360:1","Baltic Sea","Sweden",12.8423603287735,23.025,65.625,0.279633353660756,"Circalittoral mixed sediment"
"1602:353:360:2","Baltic Sea","Sweden",12.8423603287735,23.075,65.625,2.36681156888604,"Circalittoral mixed sediment"
"1602:353:361:1","Baltic Sea","Sweden",12.8423603287735,23.125,65.625,2.23592170476913,"Infralittoral sand"
"1602:353:361:2","Baltic Sea","Sweden",12.8423603287735,23.175,65.625,7.74409265518188,"Circalittoral sand"
"1602:353:362:1","Baltic Sea","Sweden",12.8423603287735,23.225,65.625,31.2794540786743,"Circalittoral sand"
