"MSFD habitat code","Extent of habitat (10^3 km^2)","Number of grid cells","Landings 10^3 tonnes","Value 10^6 euro","Swept area 10^3 km^2","Proportion of grid cells fished (indicator 2)","Proportion of area fished (indicator 3)","Fishing intensity per year (indicator 1)","Average impact (indicator 6)","Proportion of habitat fished with 90% of effort (indicator 4)"
"Circalittoral mixed sediment",107.64,7015,4.44,2.31,4.3,0.05,0.02,0.04,0,0.02
"Circalittoral mud or Circalittoral sand",51.69,3407,1.34,1.05,1.07,0.08,0.02,0.02,0,0.04
"Offshore circalittoral mud or Offshore circalittoral sand",32.63,1963,1,0.17,0.44,0.08,0.01,0.01,0,0.04
"Circalittoral sand",32.34,1992,5.66,6,13.39,0.31,0.17,0.38,0.01,0.12
"Infralittoral sand",22.92,1306,2.72,3,8.83,0.37,0.18,0.37,0.01,0.15
"Circalittoral mud",22.49,1383,4.38,3.88,7.88,0.19,0.13,0.32,0.01,0.09
"Offshore circalittoral mud",20.93,1231,6.24,5.2,15.9,0.42,0.26,0.73,0.01,0.18
"Infralittoral mixed sediment",20.17,1251,0.21,0.59,0.36,0.05,0.01,0.02,0,0.02
"Offshore circalittoral mixed sediment",19.46,1156,5.82,5.07,16.58,0.33,0.21,0.81,0.02,0.13
"Circalittoral coarse sediment",10.98,680,0.28,0.21,0.33,0.06,0.02,0.03,0,0.02
"Infralittoral coarse sediment",6.57,386,0.19,0.27,0.24,0.14,0.03,0.03,0,0.07
"Circalittoral rock and biogenic reef",6.21,394,0.04,0.01,0.03,0.01,0,0,0,0.01
"Infralittoral rock and biogenic reef",3.77,234,0,0,0.01,0.02,0,0,0,0.01
"Offshore circalittoral sand",2.66,153,1.4,1.36,3.59,0.57,0.39,1.32,0.03,0.27
"Infralittoral mud",2.11,122,0.38,0.54,0.8,0.2,0.12,0.36,0.01,0.08
"Infralittoral mud or Infralittoral sand",2.06,133,0.01,0.04,0.01,0.01,0.01,0.01,0,0.01
"Offshore circalittoral coarse sediment",0.76,47,0.01,0.01,0.02,0.11,0.02,0.02,0,0.06
"Offshore circalittoral rock and biogenic reef",0.29,18,0,0,0,0,0,0,0,NA
"Unknown",0.08,5,0,0,0,0,0,0,0,NA
